timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590051155871,22,Fetch Specific Image,200,OK,Fetch Specific Image 1-15,text,true,,5816,168,28,28,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,21,0,0
1590051155695,205,Fetch Specific Image,200,OK,Fetch Specific Image 1-17,text,true,,5816,168,28,28,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,205,0,1
1590051155886,24,Fetch Specific Image,200,OK,Fetch Specific Image 1-16,text,true,,5816,168,30,30,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,24,0,0
1590051155703,213,Fetch Specific Image,200,OK,Fetch Specific Image 1-18,text,true,,5816,168,30,30,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,213,0,0
1590051155901,25,Fetch Specific Image,200,OK,Fetch Specific Image 1-17,text,true,,5816,168,31,31,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,25,0,0
1590051155710,222,Fetch Specific Image,200,OK,Fetch Specific Image 1-19,text,true,,5816,168,31,31,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,222,0,1
1590051155917,27,Fetch Specific Image,200,OK,Fetch Specific Image 1-18,text,true,,5816,168,33,33,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,27,0,0
1590051155726,226,Fetch Specific Image,200,OK,Fetch Specific Image 1-21,text,true,,5816,168,33,33,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,226,0,0
1590051155933,26,Fetch Specific Image,200,OK,Fetch Specific Image 1-19,text,true,,5816,168,34,34,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,26,0,0
1590051155718,246,Fetch Specific Image,200,OK,Fetch Specific Image 1-20,text,true,,5816,168,34,34,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,246,0,1
1590051155952,16,Fetch Specific Image,200,OK,Fetch Specific Image 1-21,text,true,,5816,168,35,35,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,16,0,0
1590051155733,241,Fetch Specific Image,200,OK,Fetch Specific Image 1-22,text,true,,5816,168,34,34,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,241,0,1
1590051155964,13,Fetch Specific Image,200,OK,Fetch Specific Image 1-20,text,true,,5816,168,35,35,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,13,0,0
1590051155740,244,Fetch Specific Image,200,OK,Fetch Specific Image 1-23,text,true,,5816,168,35,35,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,244,0,1
1590051155974,15,Fetch Specific Image,200,OK,Fetch Specific Image 1-22,text,true,,5816,168,36,36,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,15,0,0
1590051155748,244,Fetch Specific Image,200,OK,Fetch Specific Image 1-24,text,true,,5816,168,35,35,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,244,0,1
1590051155984,15,Fetch Specific Image,200,OK,Fetch Specific Image 1-23,text,true,,5816,168,36,36,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,15,0,0
1590051155756,248,Fetch Specific Image,200,OK,Fetch Specific Image 1-25,text,true,,5816,168,36,36,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,248,0,0
1590051155992,21,Fetch Specific Image,200,OK,Fetch Specific Image 1-24,text,true,,5816,168,37,37,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,21,0,0
1590051155764,255,Fetch Specific Image,200,OK,Fetch Specific Image 1-26,text,true,,5816,168,37,37,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,255,0,1
1590051156005,22,Fetch Specific Image,200,OK,Fetch Specific Image 1-25,text,true,,5816,168,38,38,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,22,0,0
1590051155772,259,Fetch Specific Image,200,OK,Fetch Specific Image 1-27,text,true,,5816,168,38,38,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,259,0,0
1590051156020,18,Fetch Specific Image,200,OK,Fetch Specific Image 1-26,text,true,,5816,168,39,39,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,18,0,0
1590051155779,264,Fetch Specific Image,200,OK,Fetch Specific Image 1-28,text,true,,5816,168,39,39,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,264,0,1
1590051156032,20,Fetch Specific Image,200,OK,Fetch Specific Image 1-27,text,true,,5816,168,40,40,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,20,0,0
1590051155787,270,Fetch Specific Image,200,OK,Fetch Specific Image 1-29,text,true,,5816,168,40,40,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,269,0,1
1590051156043,21,Fetch Specific Image,200,OK,Fetch Specific Image 1-28,text,true,,5816,168,41,41,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,21,0,0
1590051155794,275,Fetch Specific Image,200,OK,Fetch Specific Image 1-30,text,true,,5816,168,41,41,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,275,0,0
1590051156057,19,Fetch Specific Image,200,OK,Fetch Specific Image 1-29,text,true,,5816,168,42,42,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,19,0,0
1590051155801,281,Fetch Specific Image,200,OK,Fetch Specific Image 1-31,text,true,,5816,168,42,42,http://localhost/kicad-symbols/symbol_svgs/Analog/U-MLX90320xFR-1-A.svg,281,0,1
